fileid,date_cases_IMPUTED,cases_extracted,country_extracted,date_extracted,deaths_extracted,virus_extracted
2007_02_27-en,,1.0,Lao People's Democratic Republic,2007/2/27,0.0,Avian influenza
2007_03_01a-en,,1.0,China,2007/3/1,14.0,Avian influenza
2007_03_08-en,,1.0,Lao People's Democratic Republic,2007/3/8,1.0,Avian influenza
2007_03_12-en,,24.0,Egypt,2007/3/12,13.0,Avian influenza
2007_03_15-en,,25.0,Egypt,2007/3/15,13.0,Avian influenza
2007_03_16-en,,1.0,Lao People's Democratic Republic,2007/3/16,1.0,Avian influenza
2007_03_19a-en,,7333.0,Burkina Faso,2007/3/19,583.0,Meningococcal (Group C)
2007_03_20-en,,26.0,Egypt,2007/3/20,13.0,Avian influenza
2007_03_23-en,,8.0,United Republic of Tanzania,2007/2/1,4.0,Rift Valley Fever
2007_03_27-en,,27.0,Egypt,2007/3/27,13.0,Avian influenza
2007_03_28-en,,2.0,Egypt,2007/3/28,13.0,Avian influenza
2007_03_29-en,,24.0,China,2007/3/29,15.0,Avian influenza
2007_04_02-en,,3.0,Egypt,2007/4/2,13.0,Avian influenza
2007_04_10a-en,,1.0,Kingdom of Cambodia,2007/4/10,7.0,Avian influenza
2007_04_11-en,,34.0,Egypt,2007/4/11,14.0,
2007_04_17-en,,22255.0,Burkina Faso,2007/4/17,1490.0,Meningococcal (Group C)
2007_05_09-en,,264.0,United Republic of Tanzania,2007/5/9,109.0,Rift Valley Fever
2007_05_16-en,,15.0,The Netherlands,2007/1/25,13.0,Avian influenza
2007_05_24-en,,97.0,The Netherlands,2007/5/24,77.0,Avian influenza
2007_05_29-en,,4.0,United Kingdom,2007/5/25,0.0,Avian influenza
2007_05_30a-en,,,,2007/5/30,,XDR-TB
2007_05_31-en,,98.0,The Netherlands,2007/5/31,78.0,Avian influenza
2007_06_04a-en,,25.0,China,2007/6/4,16.0,Avian influenza
2007_06_06-en,,99.0,The Netherlands,2007/6/6,79.0,Avian influenza
2007_06_11-en,,35.0,Egypt,2007/6/11,15.0,Avian influenza
2007_06_12-en,,36.0,Egypt,2007/6/12,15.0,Avian influenza
2007_06_15-en,,100.0,The Netherlands,2007/6/15,80.0,Avian influenza
2007_06_25a-en,,101.0,The Netherlands,2007/6/25,80.0,Avian influenza
2007_06_29-en,,2.0,Viet Nam,2007/6/29,0.0,Avian influenza
2007_07_11-en,,102.0,The Netherlands,2007/7/11,81.0,Avian influenza
2007_07_25-en,,38.0,Egypt,2007/7/25,15.0,Avian influenza
2007_07_30-en,,26.0,Congo,2007/7/25,,Poliomyelitis
2007_08_03-en,,2.0,United Republic of Tanzania,2007/7/14,1.0,Marburg Hemorrhagic Fever
2007_08_09-en,,10.0,Angola,2007/8/9,,Poliomyelitis
2007_08_14a-en,,1.0,The Netherlands,2007/8/14,82.0,Avian influenza
2007_08_14b-en,,1.0,United Republic of Tanzania,2007/8/14,0.0,Marburg
2007_08_16-en,,104.0,The Netherlands,2007/8/16,83.0,Avian influenza
2007_08_21-en,,27.0,Congo,2007/8/21,,Poliomyelitis
2007_08_23-en,,105.0,The Netherlands,2007/8/23,84.0,Avian influenza
2007_08_31a-en,,,Congo,2007/8/31,,
2007_09_10a-en,,3182.0,Iraq,2007/9/10,9.0,Cholera
2007_09_11-en,,372.0,Congo,2007/9/11,166.0,Ebola
2007_09_13-en,,,Congo,2007/9/13,,Hemorrhagic fever
2007_09_14-en,,6142.0,Iraq,2007/9/14,9.0,Cholera
2007_09_20-en,,,Congo,2007/9/20,,Hemorrhagic fever
2007_09_25-en,,30000.0,Iraq,2007/9/25,2116.0,Cholera
2007_09_27-en,,17.0,Congo,2007/9/27,1.0,Hemorrhagic fever
2007_10_02-en,,107.0,The Netherlands,2007/10/2,86.0,Avian influenza
2007_10_03-en,,30000.0,Iraq,2007/10/3,14.0,Cholera
2007_10_03a-en,,25.0,,2007/10/3,,Hemorrhagic fever
2007_10_08-en,,108.0,The Netherlands,2007/10/8,87.0,Avian influenza
2007_10_12-en,,109.0,The Netherlands,2007/10/12,87.0,Avian influenza
2007_10_17-en,,109.0,The Netherlands,2007/10/17,88.0,H5N1
2007_10_25-en,,110.0,The Netherlands,2007/10/25,89.0,Avian influenza
2007_10_31-en,,1.0,The Netherlands,2007/10/31,89.0,Avian influenza
2007_11_05a-en,,112.0,The Netherlands,2007/11/5,90.0,Avian influenza
2007_11_07-en,,228.0,Egypt,2007/11/7,84.0,Rift Valley Fever
2007_11_12-en,,113.0,The Netherlands,2007/11/12,91.0,Avian influenza
2007_11_14-en,,329.0,Egypt,2007/11/14,96.0,Rift Valley Fever
2007_11_16-en,,370.0,Angola,2007/11/15,,
2007_11_21-en,,390.0,Angola,2007/11/21,,
2007_11_22-en,,436.0,Egypt,2007/11/22,161.0,Rift Valley Fever
2007_11_30a-en,,51.0,United Republic of Tanzania,2007/11/30,16.0,Hemorrhagic fever
2007_12_04-en,,26.0,China,2007/12/4,17.0,Avian influenza
2007_12_07-en,,93.0,United Republic of Tanzania,2007/12/7,22.0,Hemorrhagic fever
2007_12_09-en,,27.0,China,2007/12/9,17.0,Avian influenza
2007_12_12-en,,1.0,The Netherlands,2007/12/12,92.0,Avian influenza
2007_12_13-en,,115.0,The Netherlands,2007/12/13,92.0,Avian influenza
2007_12_14-en,,1.0,Myanmar,2007/12/14,0.0,Avian influenza
2007_12_15-en,,8.0,Pakistan,2007/12/15,2.0,Avian influenza
2007_12_18-en,,115.0,The Netherlands,2007/12/18,93.0,H5N1
2007_12_21-en,,601.0,Egypt,2007/12/21,211.0,Rift Valley Fever
2007_12_26-en,,116.0,The Netherlands,2007/12/26,94.0,Avian influenza
2007_12_26a-en,,1.0,Egypt,2007/12/26,16.0,Avian influenza
2007_12_27-en,,1.0,Pakistan,2007/12/27,1.0,Avian influenza
2007_12_28a-en,,2.0,Egypt,2007/12/28,16.0,Avian influenza
2007_2_15-en,,1129.0,Sudan (W Equatoria),2007/2/15,96.0,Meningococcal (Group C)
2007_3_15a-en,,6946.0,Sudan (W Equatoria),2007/3/15,430.0,Meningitis
2008_01_02-en,,2.0,Egypt,2008/1/2,18.0,Avian influenza
2008_01_03-en,,43.0,Egypt,2008/1/3,19.0,H5N1
2008_01_11-en,,117.0,The Netherlands,2008/1/11,94.0,Avian influenza
2008_01_15-en,,118.0,The Netherlands,2008/1/15,95.0,Avian influenza
2008_01_18-en,,118.0,The Netherlands,2008/1/15,96.0,H5N1
2008_01_21-en,,119.0,The Netherlands,2008/1/21,97.0,Avian influenza
2008_01_22-en,,698.0,Egypt,2008/1/22,222.0,Rift Valley Fever
2008_01_23-en,,1.0,The Netherlands,2008/1/23,97.0,Avian influenza
2008_01_24a-en,,120.0,The Netherlands,2008/1/24,98.0,H5N1
2008_01_29-en,,4.0,The Netherlands,2008/1/29,2.0,Avian influenza
2008_01_30-en,,124.0,The Netherlands,2008/1/30,101.0,H5N1
2008_02_01-en,,124.0,The Netherlands,2008/1/31,102.0,H5N1
2008_02_05-en,,2.0,The Netherlands,2008/2/5,103.0,Avian influenza
2008_02_07-en,,48.0,Brazil,2008/2/5,13.0,Yellow Fever
2008_02_12-en,,1.0,The Netherlands,2008/2/12,103.0,Avian influenza
2008_02_15-en,,103.0,Viet Nam,2008/2/15,49.0,Avian influenza
2008_02_20-en,,28.0,China,2008/2/20,18.0,Avian influenza
2008_02_20a-en,,7.0,Ecuador,2008/2/20,,Yellow Fever
2008_02_21a-en,,2.0,The Netherlands,2008/2/21,105.0,Avian influenza
2008_02_22a-en,,2312.0,Burkina Faso,2008/2/22,324.0,Meningococcal (Group C)
2008_02_26b-en,,105.0,Viet Nam,2008/2/26,51.0,Avian influenza
2008_02_28-en,,44.0,Egypt,2008/2/28,19.0,Avian influenza
2008_02_28a-en,,16.0,Ecuador,2008/2/28,3.0,Yellow Fever
2008_03_04-en,,45.0,Egypt,2008/3/4,20.0,Avian influenza
2008_03_05-en,,46.0,Egypt,2008/3/5,20.0,Avian influenza
2008_03_07-en,,22.0,Ecuador,2008/3/7,6.0,Yellow Fever
2008_03_11-en,,47.0,Egypt,2008/3/11,20.0,Avian influenza
2008_03_18-en,,106.0,Viet Nam,2008/3/18,52.0,Avian influenza
2008_04_02-en,,3.0,The Netherlands,2008/4/2,107.0,Avian influenza
2008_04_03-en,,4.0,Pakistan,2007/12/1,3.0,H5N1
2008_04_08-en,,48.0,Egypt,2008/4/8,21.0,Avian influenza
2008_04_10-en,,120570.0,Brazil,2008/4/10,48.0,Dengue Fever
2008_04_15-en,,49.0,Egypt,2008/4/15,22.0,Avian influenza
2008_04_17-en,,50.0,Egypt,2008/4/17,22.0,Avian influenza
2008_04_18a-en,,418.0,Madagascar,2008/4/18,17.0,Rift Valley Fever
2008_04_22-en,,2490.0,Viet Nam,2008/4/22,0.0,Cholera
2008_04_25-en,,2.0,Angola,2008/4/25,1.0,Yellow Fever
2008_04_30-en,,133.0,The Netherlands,2008/4/30,108.0,Avian influenza
2008_05_01-en,,1884.0,China,2008/5/1,20.0,Enterovirus Infection
2008_05_07-en,,4496.0,China,2008/5/5,22.0,Enterovirus Infection
2008_05_20-en,,2.0,Congo,2008/5/15,,Yellow Fever
2008_05_21-en,,,China,2008/5/21,,Enterovirus Infection
2008_05_28-en,,1.0,People's Republic of Bangladesh,2008/5/28,0.0,Avian influenza
2008_06_18-en,,,Federal Republic of Nigeria,2008/6/18,,Coronavirus
2008_06_19-en,,2.0,The Netherlands,2008/6/19,110.0,Avian influenza
2008_06_23-en,,,Cameroon,2008/6/23,,
2008_07_10-en,,1.0,The Netherlands,2008/7/10,0.0,Marburg Hemorrhagic Fever
2008_08_08-en,,5.0,Cameroon,2008/8/8,0.0,Yellow Fever
2008_09_10a-en,,181.0,Iraq,2008/9/10,10.0,Cholera
2008_09_19-en,,6240.0,China,2008/9/18,3.0,
2008_09_22-en,,40000.0,China,2008/9/22,3.0,
2008_09_24-en,,7166.0,Guinea Bissau,2008/9/24,133.0,Cholera
2008_09_29a-en,,54000.0,China,2008/9/29,3.0,
2008_09_29c-en,,341.0,Iraq,2008/9/28,5.0,Cholera
2008_10_10-en,,,Zambia,2008/10/10,3.0,
2008_10_13-en,,4.0,Zambia,2008/10/13,3.0,Aparavirus
2008_10_30-en,,1.0,Congo,2008/8/22,0.0,Yellow Fever
2008_11_03-en,,2.0,Burkina Faso,2008/11/3,1.0,Yellow Fever
2008_12_02-en,,11735.0,United Republic of Tanzania,2008/12/2,484.0,Cholera
2008_12_09-en,,2.0,The Netherlands,2008/12/9,113.0,Avian influenza
2008_12_12-en,,1.0,Kingdom of Cambodia,2008/12/12,7.0,Avian influenza
2008_12_16-en,,51.0,Egypt,2008/12/16,23.0,Avian influenza
2008_12_26-en,,26497.0,United Republic of Tanzania,2008/12/25,1518.0,Cholera
2008_12_26a-en,,34.0,Congo,2008/12/25,9.0,Ebola
2009_01_02-en,,3.0,Congo,2009/1/2,12.0,Hemorrhagic fever
2009_01_06-en,,1517.0,Federal Republic of Nigeria,2008/4/1,,Poliomyelitis
2009_01_06a-en,,2.0,Sierra Leone,2008/12/12,0.0,Yellow Fever
2009_01_07a-en,,1.0,China,2009/1/7,21.0,Avian influenza
2009_01_11-en,,1.0,Viet Nam,2009/1/11,52.0,Avian influenza
2009_01_14a-en,,52.0,Egypt,2009/1/14,23.0,Avian influenza
2009_01_19-en,,3.0,China,2009/1/19,22.0,Avian influenza
2009_01_22-en,,2.0,The Netherlands,2009/1/22,115.0,Avian influenza
2009_01_24-en,,34.0,China,2009/1/24,23.0,H5N1
2009_01_26-en,,53.0,Egypt,2009/1/26,23.0,Avian influenza
2009_01_27-en,,3.0,China,2009/1/27,25.0,H5N1
2009_01_30-en,,60000.0,United Republic of Tanzania,2009/1/30,3100.0,Cholera
2009_02_02-en,,38.0,China,2009/2/2,25.0,H5N1
2009_02_03-en,,5.0,Philippines,2009/2/3,0.0,Bundibugyo ebolavirus (BEBOV)
2009_02_05-en,,54.0,Egypt,2009/2/5,23.0,Avian influenza
2009_02_09-en,,55.0,Egypt,2009/2/9,23.0,Avian influenza
2009_02_11-en,,1.0,Viet Nam,2009/2/11,52.0,Avian influenza
2009_02_17-en,,32.0,Congo,2009/2/16,15.0,Ebola
2009_02_18-en,,1.0,Viet Nam,2009/2/18,52.0,Avian influenza
2009_02_19-en,,1364.0,Federal Republic of Nigeria,2009/2/19,108.0,Meningococcal (Group C)
2009_02_20-en,,79613.0,United Republic of Tanzania,2009/2/20,3731.0,Cholera
2009_02_24-en,,109.0,Viet Nam,2009/2/24,53.0,H5N1
2009_02_27-en,,109.0,Viet Nam,2009/2/27,54.0,H5N1
2009_03_02-en,,56.0,Egypt,2009/3/1,23.0,Avian influenza
2009_03_02a-en,,,Egypt,2009/3/2,,Coronavirus
2009_03_04-en,,5323.0,Federal Republic of Nigeria,2009/3/4,333.0,Meningococcal (Group C)
2009_03_10-en,,57.0,Egypt,2009/3/10,23.0,Avian influenza
2009_03_11-en,,58.0,Egypt,2009/3/11,23.0,Avian influenza
2009_03_23a-en,,59.0,Egypt,2009/3/23,23.0,Avian influenza
2009_03_25-en,,24868.0,Ghana and Nigeria,2009/3/15,1513.0,Meningococcal (Group C)
2009_03_30-en,,60.0,Egypt,2009/3/30,23.0,Avian influenza
2009_03_31-en,,6.0,Philippines,2009/3/31,0.0,Ebola
2009_04_08a-en,,3.0,Egypt,2009/4/8,23.0,Avian influenza
2009_04_17-en,,64.0,Egypt,2009/4/17,23.0,Avian influenza
2009_04_21-en,,2.0,Egypt,2009/4/21,23.0,Avian influenza
2009_04_23-en,,922.0,Chad,2009/4/23,105.0,Meningitis
2009_04_23a-en,,67.0,Egypt,2009/4/23,23.0,Avian influenza
2009_04_24-en,,854.0,Mexico,2009/4/24,59.0,Avian influenza
2009_04_25-en,,,,,,
2009_04_26-en,,20.0,United States,2009/4/26,0.0,Avian influenza
2009_04_27-en,,26.0,Mexico,2009/4/27,7.0,Avian influenza
2009_04_28-en,,26.0,Mexico,2009/4/28,7.0,Avian influenza
2009_04_29-en,,26.0,Mexico,2009/4/29,7.0,Avian influenza
2009_04_30_a-en,,97.0,Mexico,2009/4/30,7.0,Avian influenza
2009_05_01a-en,,156.0,Mexico,2009/5/1,9.0,Avian influenza
2009_05_02a-en,,397.0,Mexico,2009/5/2,16.0,Avian influenza
2009_05_03a-en,,506.0,Mexico,2009/5/3,19.0,Avian influenza
2009_05_04a-en,,590.0,Mexico,2009/5/4,25.0,Avian influenza
2009_05_05a-en,,822.0,Mexico,2009/5/5,29.0,Avian influenza
2009_05_06a-en,,1.0,Angola,2009/4/15,0.0,Yellow Fever
2009_05_06b-en,,68.0,Egypt,2009/5/6,23.0,Avian influenza
2009_05_06c-en,,111.0,Viet Nam,2009/5/6,56.0,Avian influenza
2009_05_06d-en,,942.0,Mexico,2009/5/6,29.0,Avian influenza
2009_05_07a-en,,1112.0,Mexico,2009/5/7,42.0,Avian influenza
2009_05_08a-en,,1204.0,Mexico,2009/5/8,44.0,Avian influenza
2009_05_09-en,,1364.0,Mexico,2009/5/9,45.0,Avian influenza
2009_05_10-en,,1626.0,Mexico,2009/5/10,45.0,Avian influenza
2009_05_11-en,,1626.0,Mexico,2009/5/11,48.0,Avian influenza
2009_05_12-en,,2059.0,Mexico,2009/5/12,56.0,Avian influenza
2009_05_13-en,,2059.0,Mexico,2009/5/13,56.0,Avian influenza
2009_05_14-en,,2446.0,Mexico,2009/5/14,60.0,Avian influenza
2009_05_15-en,,2446.0,Mexico,2009/5/15,60.0,Avian influenza
2009_05_15a-en,,69.0,Egypt,2009/5/15,26.0,H5N1
2009_05_16-en,,2895.0,Mexico,2009/5/16,66.0,Avian influenza
2009_05_17-en,,2895.0,Mexico,2009/5/17,66.0,Avian influenza
2009_05_18-en,,8829.0,,2009/5/18,74.0,Avian influenza
2009_05_19-en,,9830.0,,2009/5/19,79.0,Avian influenza
2009_05_20-en,,10243.0,,2009/5/20,80.0,Avian influenza
2009_05_21-en,,11034.0,,2009/5/21,85.0,Avian influenza
2009_05_22a-en,,5.0,Egypt,2009/5/20,1.0,Avian influenza
2009_05_23-en,,12022.0,,2009/5/23,86.0,Avian influenza
2009_05_25-en,,12515.0,,2009/5/25,91.0,Avian influenza
2009_05_26-en,,12954.0,,2009/5/26,92.0,Avian influenza
2009_05_27-en,,12954.0,29 countries,2009/5/27,92.0,Avian influenza
2009_05_27a-en,,13398.0,,2009/5/27,95.0,Avian influenza
2009_05_28-en,,2.0,Egypt,2009/5/26,27.0,Avian influenza
2009_05_29-en,,15510.0,,2009/5/29,99.0,Avian influenza
2009_06_01a-en,,17410.0,,2009/6/1,115.0,Avian influenza
2009_06_02-en,,78.0,Egypt,2009/6/2,27.0,Avian influenza
2009_06_03-en,,19273.0,,2009/6/3,117.0,Avian influenza
2009_06_05-en,,21940.0,,2009/6/5,125.0,Avian influenza
2009_06_08-en,,25288.0,,2009/6/8,139.0,Avian influenza
2009_06_09-en,,98424.0,United Republic of Tanzania,2009/6/9,4276.0,Cholera
2009_06_10a-en,,27737.0,,2009/6/10,141.0,Avian influenza
2009_06_11-en,,28774.0,,2009/6/11,144.0,Avian influenza
2009_06_12-en,,29669.0,,2009/6/12,145.0,Avian influenza
2009_06_15-en,,35928.0,,2009/6/15,163.0,Avian influenza
2009_06_17-en,,39620.0,,2009/6/17,3692.0,Avian influenza
2009_06_19-en,,918.0,Argentina,2009/6/19,4.0,Avian influenza
2009_06_22-en,,52160.0,global,2009/6/22,51.0,Avian influenza
2009_06_24-en,,55867.0,,2009/6/24,7.0,Avian influenza
2009_06_26-en,,59814.0,,2009/6/26,263.0,Avian influenza
2009_06_29-en,,70893.0,,2009/6/29,48.0,Avian influenza
2009_07_01-en,,3.0,Egypt,2009/7/1,27.0,Avian influenza
2009_07_01a-en,,77201.0,,2009/7/1,21.0,H1N1
2009_07_03-en,,89921.0,global,2009/7/3,50.0,H1N1
2009_07_06-en,,94512.0,global,2009/7/6,47.0,H1N1
2009_07_17-en,,258.0,Federal Republic of Nigeria,2009/7/17,,Poliomyelitis
2009_07_27-en,,,,2009/7/27,,H1N1
2009_08_04-en,,,,2009/7/31,,H1N1
2009_08_11a-en,,2.0,Egypt,2009/8/11,27.0,Avian influenza
2009_08_12-en,,,,2009/8/6,,H1N1
2009_08_21-en,,182000.0,,2009/8/13,1799.0,H1N1
2009_08_28-en,,,,2009/8/16,,Avian influenza
2009_08_31-en,,2.0,Egypt,2009/8/31,27.0,Avian influenza
2009_09_04-en,,,,,,Avian influenza
2009_09_11-en,,,,2009/8/30,,Coronavirus Variant B.1.324.1
2009_09_18-en,,,,2009/9/6,,H1N1
2009_09_24-en,,2.0,Egypt,2009/9/24,27.0,Avian influenza
2009_09_25-en,,300000.0,,2009/9/20,3917.0,H1N1
2009_10_01-en,,1.0,Cameroon,2009/9/8,0.0,Yellow Fever
2009_10_02-en,,340000.0,,2009/9/27,4100.0,H1N1
2009_10_09-en,,375000.0,,2009/10/4,4500.0,H1N1
2009_10_16-en,,399232.0,,2009/10/11,4735.0,H1N1
2009_10_23-en,,414000.0,,2009/10/17,5000.0,H1N1
2009_10_30a-en,,3367.0,Cape Verde,2009/10/30,,Dengue Fever
2009_11_01-en,,,Ukraine,2009/10/28,38.0,Coronavirus Variant B.1.324.1
2009_11_03-en,,,Ukraine,2009/11/3,70.0,Avian influenza
2009_11_06-en,,,,2009/11/1,,H1N1
2009_11_13-en,,,global,2009/11/13,,H1N1
2009_11_16-en,,,Ukraine,2009/11/17,,Coronavirus Variant B.1.324.1
2009_11_18-en,,16744.0,Cape Verde,2009/11/18,,Dengue Fever
2009_11_20-en,,88.0,Egypt,2009/11/20,27.0,Avian influenza
2009_11_20a-en,,,,2009/11/15,,H1N1
2009_11_27-en,,89.0,Egypt,2009/11/27,27.0,Avian influenza
2009_11_27a-en,,,,2009/11/22,207.0,H1N1
2009_12_01-en,,4.0,Congo,2009/12/1,3.0,Yellow Fever
2009_12_04-en,,,,2009/11/29,8768.0,H1N1
2009_12_11-en,,112.0,Viet Nam,2009/12/11,57.0,Avian influenza
2009_12_11a-en,,208.0,,2009/12/6,,H1N1
2009_12_18-en,,1.0,Kingdom of Cambodia,2009/12/18,7.0,Avian influenza
2009_12_18a-en,,,,2009/12/13,10582.0,H1N1
2009_12_21-en,,1.0,Egypt,2009/12/19,27.0,Avian influenza
2009_12_23-en,,11516.0,,2009/12/20,11516.0,H1N1
2009_12_30-en,,12220.0,,2009/12/30,12220.0,H1N1
2010_01_08a-en,,10.0,Cameroon,2009/11/6,6.0,Yellow Fever
2010_01_12-en,,7.0,Guinea Bissau,2010/1/12,0.0,Yellow Fever
2010_01_15-en,,13554.0,,2010/1/15,13554.0,H1N1
2010_01_22-en,,14142.0,,2010/1/22,14142.0,H1N1
2010_01_28-en,,4.0,Egypt,2010/1/28,27.0,Avian influenza
2010_01_29-en,,,,2010/1/24,14711.0,H1N1
2010_02_08-en,,2.0,Egypt,2010/2/8,27.0,Avian influenza
2010_02_10-en,,1.0,Egypt,2010/2/10,27.0,Avian influenza
2010_02_12a-en,,163.0,The Netherlands,2010/2/12,135.0,Avian influenza
2010_02_17-en,,2.0,Egypt,2010/2/17,2.0,Avian influenza
2010_02_19-en,,,,2010/2/14,,H1N1
2010_02_24-en,,3.0,Cameroon,2010/2/17,3.0,Yellow Fever
2010_02_26-en,,,,2010/2/21,,H1N1
2010_02_5-en,,211.0,,2010/2/5,15174.0,H1N1
2010_03_04a-en,,3.0,Viet Nam,2010/3/4,1.0,Avian influenza
2010_03_05-en,,16455.0,,2010/3/5,16455.0,H1N1
2010_03_12-en,,16713.0,,2010/3/7,,H1N1
2010_03_16a-en,,116.0,Viet Nam,2010/3/16,58.0,Avian influenza
2010_03_19-en,,,,2010/3/14,,H1N1
2010_03_26-en,,16931.0,,2010/3/21,16931.0,H1N1
2010_03_29a-en,,117.0,Viet Nam,2010/3/29,59.0,Avian influenza
2010_03_30a-en,,63.0,South Africa (KwaZulu Natal),2010/3/30,2.0,Rift Valley Fever
2010_04_01a-en,,1531.0,Chad,2010/4/1,151.0,Meningitis
2010_04_09-en,,,,YYYY-mm-dd,,H1N1
2010_04_16-en,,,,2010/4/11,,H1N1
2010_04_21-en,,2.0,Viet Nam,2010/4/6,59.0,Avian influenza
2010_04_23-en,,120.0,Republic of Tajikistan,2010/4/23,10.0,Coronavirus
2010_04_23a-en,,17853.0,,YYYY-mm-dd,17853.0,H1N1
2010_04_29-en,,171.0,Republic of Tajikistan,2010/4/29,12.0,Coronavirus
2010_04_30a-en,,17919.0,,2010/4/25,17919.0,H1N1
2010_05_04a-en,,172.0,South Africa (KwaZulu Natal),2010/5/3,15.0,Rift Valley Fever
2010_05_06-en,,2.0,The Netherlands,2010/5/6,136.0,Avian influenza
2010_05_07-en,,,,YYYY-mm-dd,,H1N1
2010_05_12-en,,186.0,South Africa (KwaZulu Natal),2010/5/11,18.0,Rift Valley Fever Animals
2010_05_14-en,,,,YYYY-mm-dd,,H1N1
2010_05_21-en,,18097.0,,YYYY-mm-dd,,H1N1
2010_05_27-en,,1.0,Cameroon,2010/1/25,0.0,Yellow Fever
2010_05_28-en,,,"South Korea, Ireland, Germany, Spain, Hungary, Britain, Finland, Austria, Sweden, Italy, Japan, Holland, Croatia, Chile, Czech Republic, Lithuania, Norway, Costa Rica, Turkey, Russia",2010/5/23,,H1N1
2010_06_04-en,,18138.0,,2010/5/30,,H1N1
2010_06_08-en,,39.0,China,2010/6/8,26.0,H5N1
2010_06_11-en,,18156.0,,2010/6/6,,H1N1
2010_06_18-en,,,,2010/6/13,,H1N1
2010_06_25-en,,,,2010/6/20,,H1N1
2010_06_29-en,,5.0,Congo,2010/6/29,3.0,Hemorrhagic fever
2010_07_02a-en,,,Congo,2010/7/2,,
2010_07_05-en,,1.0,The Netherlands,2010/7/5,137.0,Avian influenza
2010_07_07-en,,100.0,Federal Republic of Nigeria,2010/7/7,,
2010_07_09-en,,18311.0,,2010/7/4,18311.0,H1N1
2010_07_16-en,,,,YYYY-mm-dd,,H1N1
2010_07_19a-en,,11.0,Congo,2010/3/15,2.0,Yellow Fever
2010_07_22-en,,167.0,The Netherlands,2010/7/22,138.0,Avian influenza
2010_07_23-en,,430.0,Republic of Tajikistan,2010/7/23,19.0,Poliomyelitis
2010_07_23a-en,,,,2010/7/18,,H1N1
2010_07_29-en,,1.0,Egypt,2010/7/29,1.0,Avian influenza
2010_07_30-en,,,,2010/7/25,,H1N1
2010_08_03-en,,168.0,The Netherlands,2010/8/3,139.0,Avian influenza
2010_08_06-en,,,,2010/8/1,,H1N1
2010_08_10-en,,17.0,Ecuador,2010/8/10,0.0,Y. pestis
2010_08_12-en,,1.0,Egypt,2010/8/12,35.0,Avian influenza
2010_08_13-en,,79.0,New Zealand,2010/8/13,,H1N1
2010_08_20-en,,,India,2010/8/20,,H1N1
2010_08_27-en,,,India,2010/8/27,,H1N1
2010_08_31-en,,112.0,Egypt,2010/8/31,36.0,Avian influenza
2010_09_08-en,,,Congo,2010/9/8,,Coronavirus
2010_09_10-en,,,,2010/9/10,,H1N1
2010_10_05-en,,1.0,Cameroon,2010/9/20,0.0,Yellow Fever
2010_10_08-en,,40468.0,Africa,2010/10/8,1879.0,Cholera
2010_10_18-en,,2.0,The Netherlands,2010/10/18,141.0,Avian influenza
2010_10_25-en,,99.0,Pakistan,2010/10/12,,Vibrio parahaemolyticus
2010_10_25a-en,,26.0,Pakistan,2010/10/25,3.0,Crimean-Congo Hemorrhagic fever
2010_10_26-en,,3342.0,Republic of Panama,2010/10/25,259.0,Cholera
2010_10_28-en,,4722.0,Republic of Panama,2010/10/27,303.0,V. cholerae
2010_11_04a-en,,120.0,Congo,2010/11/4,58.0,Poliomyelitis
2010_11_09-en,,184.0,Congo,2010/11/9,85.0,Poliomyelitis
2010_11_13-en,,458.0,Soviet Union,2010/11/13,0.0,Poliomyelitis
2010_11_17-en,,17418.0,Republic of Panama,2010/11/16,1065.0,Cholera
2010_11_19-en,,1.0,Hong Kong,2010/11/17,0.0,H5N1
2010_11_24-en,,60240.0,Republic of Panama,2010/11/24,1415.0,Cholera
2010_12_08-en,,113.0,Egypt,2010/12/8,37.0,Avian influenza
2010_12_09-en,,1.0,The Netherlands,2010/12/9,141.0,Avian influenza
2010_12_29-en,,2.0,Egypt,2010/12/29,1.0,Avian influenza
2011_01_05-en,,4.0,Egypt,2011/1/5,2.0,Avian influenza
2011_01_12-en,,1.0,Egypt,2011/1/13,40.0,Avian influenza
2011_01_19-en,,226.0,United Republic of Tanzania,2010/10/23,53.0,Yellow Fever
2011_01_20-en,,1.0,Egypt,2011/1/20,40.0,Avian influenza
2011_01_25-en,,12.0,Cameroon,2011/1/3,25.0,Yellow Fever
2011_02_01-en,,700000.0,Cameroon,2011/1/21,35.0,Yellow Fever
2011_02_02-en,,122.0,Egypt,2011/2/2,40.0,Avian influenza
2011_02_09-en,,1.0,Kingdom of Cambodia,2011/2/9,1.0,Avian influenza
2011_02_25-en,,2.0,Kingdom of Cambodia,2011/2/25,2.0,Avian influenza
2011_02_28-en,,3.0,Egypt,2011/2/28,1.0,Avian influenza
2011_03_02-en,,1.0,The Netherlands,2011/3/2,142.0,Avian influenza
2011_03_07-en,,2.0,Egypt,2011/3/7,41.0,Avian influenza
2011_03_08-en,,923.0,Chad,2011/3/8,57.0,Meningitis
2011_03_10-en,,2.0,Egypt,2011/3/10,1.0,Avian influenza
2011_03_11-en,,2.0,Sierra Leone,2011/2/8,0.0,Yellow Fever
2011_03_14-en,,2.0,The Netherlands,2011/3/14,2.0,Avian influenza
2011_03_15-en,,130.0,Egypt,2011/3/15,44.0,Avian influenza
2011_03_16-en,,1.0,People's Republic of Bangladesh,2011/3/16,0.0,Avian influenza
